Département,Budget,Type nomenclature,Exercice,Type fichier,Date vote,Dépense/Recette,Investissement/Fonctionnement,Réel/Ordre id/Ordre diff,Chapitre,Sous-chapitre,Opération,Article,Rubrique fonctionnelle,Libellé,Code devise,Montant,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A13278,R64     ,Subventions d équipement non transférables - Autres fonds européens,E,2549,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1324,R81     ,Subventions d équipement non transférables - Communes et structures intercommunales,E,13333,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1324,R621    ,Subventions d équipement non transférables - Communes et structures intercommunales,E,1000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1322,R621    ,Subventions d équipement non transférables - Régions,E,800000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1322,R61     ,Subventions d équipement non transférables - Régions,E,450,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1321 ,R928    ,Subventions d équipement non transférables - Etat et établissements nationaux,E,51000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1321 ,R72     ,Subventions d équipement non transférables - Etat et établissements nationaux,E,2330000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1321 ,R64     ,Subventions d équipement non transférables - Etat et établissements nationaux,E,67,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1321 ,R621    ,Subventions d équipement non transférables - Etat et établissements nationaux,E,2800000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1321 ,R621    ,Subventions d équipement non transférables - Etat et établissements nationaux,E,184812.5,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1316,R738    ,Subventions d équipement transférables - Autres établissements publics locaux,E,15906.8,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1314,R621    ,Subventions d équipement transférables - Communes et structures intercommunales,E,200000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1312,R738    ,Subventions d équipement transférables - Régions,E,116836.36,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1312,R621    ,Subventions d équipement transférables - Régions,E,150000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1311,R738    ,Subventions d équipement transférables - Etat et établissements nationaux,E,300351,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C13,,,A1311,R621    ,Subventions d équipement transférables - Etat et établissements nationaux,E,739400,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C10,,,A10222,R01     ,F.C.T.V.A.,E,18500000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
C001,B00,M52,2016,BP,18/12/2015,R,I,OR,C024,,,A024,R01     ,Produit des cessions des immobilisations,E,8000000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
C001,B00,M52,2016,BP,18/12/2015,R,I,OI,C041,,,A21841.,R01     ,O-Matériel de bureau et mobilier scolaire,E,400000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
C001,B00,M52,2016,BP,18/12/2015,R,I,OI,C041,,,A21831.,R01     ,O-Matériel informatique scolaire,E,800000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
C001,B00,M52,2016,BP,18/12/2015,R,I,OI,C041,,,A2157.,R01     ,O- Matériel et outillage technique,E,400000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
C001,B00,M52,2016,BP,18/12/2015,R,I,OI,C041,,,A2033.,R01     ,Frais d insertion,E,20000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
C001,B00,M52,2016,BP,18/12/2015,R,I,OI,C041,,,A2031,R01     ,Frais d études,E,4280000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
C001,B00,M52,2016,BP,18/12/2015,R,I,OE,C040,,,A28188,R01     ,Amortissement des autres immobilisations corporelles,E,300000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
C001,B00,M52,2016,BP,18/12/2015,R,I,OE,C040,,,A28185,R01     ,Amortissement du matériel de téléphonie,E,100000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
C001,B00,M52,2016,BP,18/12/2015,R,I,OE,C040,,,A281848,R01     ,Amortissement autres matériels de bureau et mobiliers,E,800000,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
