Année;Dépense/Recette;Investissement/Fonctionnement;Chapitre;Libellé chapitre;Rubrique fonctionnelle;Article;Libellé article;Montant;Réel/Ordre id/Ordre diff
2013;Dépense;Fonctionnement;C9356;REVENU DE SOLIDARITE ACTIVE (RSA);R93564;A6188;Autres frais divers;2582531.25;OR
2013;Dépense;Fonctionnement;C9355;PERSONNES DEPENDANTES (APA);R93550;A6541;Créances admises en non valeur;20000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9358;A6746;Bonifications d intérêts;9895.31;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A6574;Subventions de fonctionnement aux associations et autres organismes de droit privé;2909933.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A65734;Subventions de fonctionnement aux Communes et structure intercommunales;2519203.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9353;A65731;Subventions de fonctionnement à l Etat;69860.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9358;A65561;Fonds Solidarité logement (FSL);6590000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A6541;Créances admises en non valeur;100000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A652416;Services d aides éducatives en milieux ouverts et à domicile;15200000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A652414;Foyers de jeunes travailleurs;400000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A652411;Foyers de l enfance. centres et hôtels maternels;24271885.33;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9353;A6518;Autres (Primes et dots);963000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9358;A6512;Secours d urgence;350000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9353;A65113;Allocations aux personnes agées;4000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9353;A6478;Autres charges sociales diverses;20316.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9352;A6478;Autres charges sociales diverses;15437.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A6473;Allocations de chômage;310000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9352;A6451;Cotisations à l  U.R.S.S.A.F.;599837.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9353;A64131;Rémunérations du personnel non titulaire;84872.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9352;A64131;Rémunérations du personnel non titulaire;446040.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A64121;Rémunérations principales;15500000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9353;A64118;Autres indemnités;943992.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A64118;Autres indemnités;4658365.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9352;A64112;Supplément famillial de traitement et indemnité de résidence;114711.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A64111;Rémunération principale;15576406.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A6332;Cotisations versées au F.N.A.L.;87920.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9353;A6331;Versement de transport;116710.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9353;A62878;Remboursements de frais à des tiers;563800.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A62878;Remboursements de frais à des tiers;10359323.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A6283;Frais de nettoyage des locaux;550000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A6282;Frais de gardiennage;220000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9358;A6188;Autres frais divers;152290.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A616;Primes d assurances;4000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9352;A6156;Maintenance;14000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9358;A61521;Entretien et réparations sur terrains;286360.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9352;A614;Charges locatives et de copropriété;120050.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A614;Charges locatives et de copropriété;747730.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A6135;Locations mobilières;30000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9358;A611;Contrats de prestations de services;15000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9358;A6068;Autres matières et fournitures;27700.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A6067;Fournitures scolaires;11500.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A60661;Médicaments;25400.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A6064;Fournitures administratives;309000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9352;A60612;Energie - Electricité;13910.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A60611;Eau et assainissement;17185.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A65888;Autres;2400.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A6574;Subventions de fonctionnement aux associations et autres organismes de droit privé;74774.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9342;A6478;Autres charges sociales diverses;691.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9342;A6414;Personnel rémunéré a la vacation;1.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9342;A64131;Rémunérations du personnel non titulaire;39814.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A64118;Autres indemnités;3377652.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9342;A6336;Cotisations au C.N.F.P.T. et au centre de gestion de la fonction publique territoriale;2282.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A6227;Frais d actes et de contentieux;13000.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A6218;Autre personnel extérieur;10.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A6156;Maintenance;63000.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9342;A60662;Vaccins et sérums;1170700.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A60632;Fournitures de petit équipement;11640.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9342;A60612;Energie - Electricité;8800.0;OR
2013;Dépense;Fonctionnement;C933;CULTURE, VIE SOCIALE, JEUNESSE, SPORTS ET LOISIRS;R93314;A6713;Dots et prix;15000.0;OR
2013;Dépense;Fonctionnement;C933;CULTURE, VIE SOCIALE, JEUNESSE, SPORTS ET LOISIRS;R9332;A6574;Subventions de fonctionnement aux associations et autres organismes de droit privé;5530589.0;OR
2013;Dépense;Fonctionnement;C933;CULTURE, VIE SOCIALE, JEUNESSE, SPORTS ET LOISIRS;R93311;A65738;Subventions de fonctionnement aux organismes publics divers;100000.0;OR
2013;Dépense;Fonctionnement;C933;CULTURE, VIE SOCIALE, JEUNESSE, SPORTS ET LOISIRS;R93312;A65734;Subventions de fonctionnement aux Communes et structure intercommunales;28413.0;OR
2013;Dépense;Fonctionnement;C933;CULTURE, VIE SOCIALE, JEUNESSE, SPORTS ET LOISIRS;R93311;A6478;Autres charges sociales diverses;221782.0;OR
2013;Dépense;Fonctionnement;C933;CULTURE, VIE SOCIALE, JEUNESSE, SPORTS ET LOISIRS;R9332;A6453;Cotisations aux caisses de retraite;612927.0;OR
2013;Dépense;Fonctionnement;C933;CULTURE, VIE SOCIALE, JEUNESSE, SPORTS ET LOISIRS;R93311;A6453;Cotisations aux caisses de retraite;5357.0;OR
2013;Dépense;Fonctionnement;C943;OPERATIONS FINANCIERES;R943;A668;Autres charges financières;1500000.0;OR
2013;Dépense;Fonctionnement;C943;OPERATIONS FINANCIERES;R943;A66111;Intérêts réglés à l échéance;13300000.0;OR
2013;Dépense;Fonctionnement;C943;OPERATIONS FINANCIERES;R943;A627;Services bancaires et assimilés;12250.0;OR
2013;Dépense;Fonctionnement;C939;DEVELOPPEMENT ECONOMIQUE;R9393;A6713;Dots et prix;4800.0;OR
2013;Dépense;Fonctionnement;C939;DEVELOPPEMENT ECONOMIQUE;R9394;A6574;Subventions de fonctionnement aux associations et autres organismes de droit privé;1075328.0;OR
2013;Dépense;Fonctionnement;C939;DEVELOPPEMENT ECONOMIQUE;R9393;A65738;Subventions de fonctionnement aux organismes publics divers;5000.0;OR
2013;Dépense;Fonctionnement;C939;DEVELOPPEMENT ECONOMIQUE;R9391;A6513;Bourses;40000.0;OR
2013;Dépense;Fonctionnement;C939;DEVELOPPEMENT ECONOMIQUE;R9390;A6262;Frais de télécommunications;10200.0;OR
2013;Dépense;Fonctionnement;C938;TRANSPORTS;R9381;A6568;Autres participations;354114.0;OR
2013;Dépense;Fonctionnement;C938;TRANSPORTS;R93821;A62268;Autres honoraires. conseils...;2200.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9371;A7398;Autres reversements;20000.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9372;A6574;Subventions de fonctionnement aux associations et autres organismes de droit privé;280000.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R93738;A6568;Autres participations;585800.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A64131;Rémunérations du personnel non titulaire;851521.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9371;A6234;Réceptions;6000.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9371;A6231;Annonces et insertions;2100.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R93738;A62268;Autres honoraires. conseils...;14000.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A6188;Autres frais divers;157240.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R93731;A617;Etudes et reherches;285926.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9372;A617;Etudes et reherches;49000.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A61521;Entretien et réparations sur terrains;655900.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A6068;Autres matières et fournitures;42800.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A6064;Fournitures administratives;67754.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R93738;A60632;Fournitures de petit équipement;5750.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A60632;Fournitures de petit équipement;152250.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A60631;Fournitures d entretien;4600.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A60622;Carburants;9900.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A60612;Energie - Electricité;659550.0;OR
2013;Dépense;Fonctionnement;C937;AMENAGEMENT ET ENVIRONNEMENT;R9370;A60611;Eau et assainissement;9630.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A6478;Autres charges sociales diverses;24401.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A6451;Cotisations à l  U.R.S.S.A.F.;1094160.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A64113;NBI;51050.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A64111;Rémunération principale;4405362.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A6336;Cotisations au C.N.F.P.T. et au centre de gestion de la fonction publique territoriale;86201.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A6156;Maintenance;45000.0;OR
2013;Dépense;Fonctionnement;C936;RESEAUX ET INFRASTRUCTURES;R93621;A61523;Entretien et réparations sur voies et réseaux;8321857.0;OR
2013;Dépense;Fonctionnement;C9356;REVENU DE SOLIDARITE ACTIVE (RSA);R93562;A6574;Subventions de fonctionnement aux associations et autres organismes de droit privé;91200.0;OR
2013;Dépense;Fonctionnement;C9355;PERSONNES DEPENDANTES (APA);R93553;A651144;APA versée à l établissement;20749000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9353;A673;Titres annulés (sur exercices antérieurs);200000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A673;Titres annulés (sur exercices antérieurs);11800.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A6713;Dots et prix;44600.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9352;A65738;Subventions de fonctionnement aux organismes publics divers;4354000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A652412;Maisons d enfants à caractère social;35350000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A6522;Accueil familial;15000000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A65211;Frais de scolarité;484000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9358;A6518;Autres (Primes et dots);500000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A6513;Bourses;40000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9352;A651122;Allocation compensatrice tierce personne;13600000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9358;A6478;Autres charges sociales diverses;454.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A6478;Autres charges sociales diverses;82434.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9353;A6453;Cotisations aux caisses de retraite;1252207.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9352;A6453;Cotisations aux caisses de retraite;832987.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9358;A6451;Cotisations à l  U.R.S.S.A.F.;20712.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9352;A6414;Personnel rémunéré a la vacation;156526.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9352;A64111;Rémunération principale;2504082.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A6338;Autres impôt. taxes et versements assimilés sur rémunérations;51394.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9358;A6336;Cotisations au C.N.F.P.T. et au centre de gestion de la fonction publique territoriale;1880.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9352;A6336;Cotisations au C.N.F.P.T. et au centre de gestion de la fonction publique territoriale;46963.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A6336;Cotisations au C.N.F.P.T. et au centre de gestion de la fonction publique territoriale;466932.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9352;A62878;Remboursements de frais à des tiers;290200.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A6251;Voyages. déplacements et missions;650000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A6227;Frais d actes et de contentieux;8210.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A6227;Frais d actes et de contentieux;40000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A6188;Autres frais divers;305400.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A61551;Entretien et réparations sur matériel roulant;3500.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9358;A61522;Entretien et réparations sur bâtiments;5000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A6132;Locations immmobilières;1166575.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A6132;Locations immmobilières;4263050.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A611;Contrats de prestations de services;35000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A60636;Habillement et Vêtements de travail;72000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A60631;Fournitures d entretien;4000.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9350;A60621;Combustibles;20225.0;OR
2013;Dépense;Fonctionnement;C935;ACTION SOCIALE (hors RMI et RSA);R9351;A60612;Energie - Electricité;395954.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A673;Titres annulés (sur exercices antérieurs);500.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A6451;Cotisations à l  U.R.S.S.A.F.;3205403.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A64131;Rémunérations du personnel non titulaire;714673.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A64112;Supplément famillial de traitement et indemnité de résidence;688416.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A64111;Rémunération principale;16304857.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A6336;Cotisations au C.N.F.P.T. et au centre de gestion de la fonction publique territoriale;272333.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A6283;Frais de nettoyage des locaux;457500.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A6261;Frais d affranchissement;24100.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9342;A614;Charges locatives et de copropriété;13000.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A614;Charges locatives et de copropriété;173230.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A6132;Locations immmobilières;477985.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A60661;Médicaments;38300.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A60631;Fournitures d entretien;14910.0;OR
2013;Dépense;Fonctionnement;C934;PREVENTION MEDICO-SOCIALE;R9341;A60611;Eau et assainissement;16000.0;OR
2013;Dépense;Fonctionnement;C933;CULTURE, VIE SOCIALE, JEUNESSE, SPORTS ET LOISIRS;R93311;A6713;Dots et prix;33323.0;OR
2013;Dépense;Fonctionnement;C933;CULTURE, VIE SOCIALE, JEUNESSE, SPORTS ET LOISIRS;R9333;A6574;Subventions de fonctionnement aux associations et autres organismes de droit privé;89646.0;OR
2013;Dépense;Fonctionnement;C933;CULTURE, VIE SOCIALE, JEUNESSE, SPORTS ET LOISIRS;R93313;A6574;Subventions de fonctionnement aux associations et autres organismes de droit privé;61368.0;OR
2013;Dépense;Fonctionnement;C933;CULTURE, VIE SOCIALE, JEUNESSE, SPORTS ET LOISIRS;R93311;A6574;Subventions de fonctionnement aux associations et autres organismes de droit privé;7982779.79;OR
2013;Dépense;Fonctionnement;C933;CULTURE, VIE SOCIALE, JEUNESSE, SPORTS ET LOISIRS;R93311;A65734;Subventions de fonctionnement aux Communes et structure intercommunales;2239891.0;OR
2013;Dépense;Fonctionnement;C933;CULTURE, VIE SOCIALE, JEUNESSE, SPORTS ET LOISIRS;R93311;A65731;Subventions de fonctionnement à l Etat;34930.0;OR
2013;Dépense;Fonctionnement;C933;CULTURE, VIE SOCIALE, JEUNESSE, SPORTS ET LOISIRS;R93311;A6568;Autres participations;339235.0;OR
